Amharic	English	Afan Oromo
አንድ ነገር ማድረግ አለብኝ።	I have to do something.	Waan tokko gochuun qaba.
ቸኮሌት አይስክሬም እወዳለሁ።	I love chocolate ice cream.	Ayskiriimii chokoleetii nan jaalladha.
እዚሁ ነኝ።	I'm right here.	Asuman jira.
ሃሳቧን ወሰነች እና ከሱ ለመነጋገር ፈቃደኛ አልሆነችም።	She made up her mind and refused to talk to him.	Yaada isheetti murteessitee isa waliin dubbachuu didde.
በኋላ መሰባሰብ እንደምንችል አስቤ ነበር።	I thought we could get together later.	Booda walitti qabamuu dandeenya jedheen yaade.
እባክህ እንደገና አትፃፍልኝ።	Please don't write to me again.	Maaloo ammas naaf hin barreessinaa.
እንግሊዘኛ ብቻ ነው የምችለው።	I can only speak English.	Afaan Ingilizii qofa dubbachuu nan danda'a.
ጉዳዩን እንመልከተው።	Let's look at the issue.	Mee dhimmicha haa ilaallu.
ፈተናውን እንደማለፉ እርግጠኛ ነኝ።	I am sure you will pass the test.	Qormaata kana akkan darbu mirkaneeffadheeradha.
በጃፓን በምትቆይበት ጊዜ ብዙ ጊዜ ኪዮቶን ትጎበኝ ነበር።	During her stay in Japan, she often visited Kyoto.	Yeroo Jaappaan keessa turtetti yeroo baayʼee Kiyootoo daawwatti turte.
በእውነት መሄድ አለብን።	We really have to go.	Dhuguma deemuu qabna.
እንደጨረስን እገምታለሁ።	I guess we're done.	Xumurameerra jedheen tilmaama.
ይህንን ስራ ከመጨለሙ በፊት መጨረስ አለብኝ።	I have to finish this work before it gets dark.	Hojii kana osoo hin dukkanaa'in xumuruun na barbaachisa.
ቶም ምን ማድረግ እንዳለበት አያውቅም ነበር።	Tom didn't know what to do.	Toom maal akka godhu hin beeku ture.
ሂደትህን ከኮምፒውተሬ እከታተላለሁ።	I will monitor your progress from my computer.	Adeemsa keessan kompiitara koo irraan hordofa.
እኛም እንደዛው እናደርግልሃለን።	We will do the same for you.	Nutis akkasuma goona.
በደሴቲቱ ራቅ ወዳለ ቦታ ላይ የሚያምር ሰማያዊ ሃይቅ አገኘን።	We found a beautiful blue lake on the far side of the island.	Odola sana gama fagootti laga bareedaa fi bifa diimaa qabu arganne.
እንድህ አይነቱ የአየር ሁኔታ ከቤት ውስጥ እንድቆይ ያደርገኛል።	Weather like this keeps me indoors.	Haalli qilleensaa akkanaa mana keessa na tursiisa.
አንድም ቃል ማመን አይችሉም።	You can't believe a word.	Jecha tokkollee amanuu hin dandeessan.
ባለፈው ቀን ያበደርኩህን መፅሃፍ እንድትመልስልኝ እፈልጋለሁ።	I want you to return the book I lent you the other day.	Kitaaba guyyaa darbe siif ergise akka deebistu nan barbaada.
ሁሉም ዝግጁ ናቸው።	All are ready.	Hundi isaanii qophiidhaa.
ቶም ምንም እዳ የለንም።	Tom, we owe you nothing.	Toom, liqiin homaa hin qabnu.
ማይክሮፎኔ የት አለ?	Where is my microphone?	Maaykiroofooniin koo eessa jira?
መቸም መፋታት አልነበረብኝም።	I should never have gotten divorced.	Silaa gonkumaa wal hiikuu hin qabu ture.
መጥፎው የአየር ሁኔታ እንዳልሄድ እየከለከለኝ ነው።	The bad weather is preventing me from going.	Haalli qilleensaa hamaan akkan hin deemne na dhorkaa jira.
በአውሮፓ ጦርነት አብቅቷል።	The war in Europe is over.	Waraanni Awurooppaa keessatti geggeeffamaa ture xumurame.
ገመዶቹ አግድም ነበሩ።	The ropes were horizontal.	Funyoonni sun wal-qixa turan.
መዝፈን እወዳለሁ።	I like to sing.	Sirbuun natti tola.
ምንም ተጨማሪ አያስፈልገንም።	We don't need anything more.	Kana caalaa nu hin barbaachisu.
ስራ ላይ ነን።	We are busy.	Hojiirra jirra.
ቶም ልቡ እንደሚሰበር አውቃለሁ።	I know Tom will be heartbroken.	Toom garaan isaa akka cabe nan beeka.
ቶም በሩን ለመክፈት ሞከረ።	Tom tried to open the door.	Toom balbala banuuf yaale.
ይህን ማድረግ የምንችል አይመስለኝም ነበር።	I didn't think we could do this.	Akkas gochuu dandeenya jedhee hin yaadne.
በደወልኩ ቁጥር እሱ ይወጣል።	Every time I call, he comes out.	Yeroon bilbilu hunda inni ni dhufa.
ጥቁር ካፖርት በዚህ ክረምት ፋሽን ነው።	Black coat is fashionable this winter.	Kootiin gurraachi ganna kana faashinii ta'ee jira.
እርስወ ሲሆኑ ዝግጁ ነኝ።	I'm ready when you are.	Gaafa ati taate qophiidha.
አብረን እንብላ።	Let's eat together.	Waliin haa nyaannu.
ቶም ቦታውን እንድወስድ ይፈልጋል።	Tom wants me to take his place.	Toom bakka isaa akkan fudhadhu barbaada.
ተረጋግተን መነጋገር አለብን።	We need to calm down and talk.	Tasgabbiidhaan waliin haasa'uu qabna.
እርሻ ላይ ሰርቻለሁ።	I worked on a farm.	Qonnarra hojjedheera.
እስከ ሰኞ ድረስ ወረቀትወን በጠረጴዛየ ላይ ያድርጉ።	Put the paper on the table until Monday.	Waraqaa keessan hanga wiixataatti deeskiiirra kaa'a.
ወይዘሮ ስሚዝ የእንግሊዘኛ መምህር ናት።	Mrs. Smith is an English teacher.	Aadde Ismiiz barsiisaa Afaan Ingiliffaadhaa.
እሱ እዚህ ቢኖር ምን ይል ነበር?	What would he say if he was here?	Osoo as jiraatee maal jedha?
ሃይቁ በረዶ ነበር።	The lake was frozen.	Haroon sun cabbii ture.
ተማሪወቹ ያከብሩት ነበር።	The students adored him.	Barattoonni isaa isa kabaju turan.
ቶም ዛሬ ምሽት ግብዣ እያደረገ ነው።	Tom is having a party tonight.	Toom galgala kana affeerraa kennaa jira.
ችግሮቹን እንድወጣ ረድቶኛል።	It helped me overcome the problems.	Rakkoowwan na mudatan akkan moʼu na gargaareera.
ከወንድሙ ጋር ተጣላ።	He had a fight with his brother.	Obboleessa isaa waliin lole.
ቶም አጭር እግሮች አሉት።	Tom has short legs.	Toom miila gabaabaa qaba.
እስካሁን ስንት አመትህ እንዳለህ አልነገርከኝም።	You still haven't told me how old you are.	Ammallee umriin kee meeqa akka ta'e natti hin himne.
ፈረንሳይኛ ማጥናት አለብህ።	You should study French.	Afaan Faransaayii barachuu qabda.
ፕሮፌሽናል የባንጆ ተጫዋች ለመሆን በሽወች የሚቆጠሩ ሰአታት ልምምድ ማድረግ ያስፈልግወታል።	Becoming a professional banjo player requires countless hours of practice.	Taphataa ogeessa ta'uuf sa'aatii kumaatamaan lakkaa'aman shaakala gochuu qabda.
ስህተት ነበር ብየ አላምንም።	I don't believe it was a mistake.	Dogoggora ture jedhee hin amanu.
ግልቢያ ብትሰጡኝ ጥሩ ነው።	It would be great if you could give me a ride.	Osoo Yaabbannoo naaf kennitaniigaariidha.
ያንን ማድረግ እንደምፈልግ አላውቅም።	I don't know if I want to do that.	Akkas gochuu akkan barbaadu hin beeku.
እሱን ወደዚህ አምጥተህ ምን እያሰብክ ነበር?	What were you thinking of bringing him here?	Maal yaadaa turte asitti isa fiduuf?
በጣም ብዙ ቱሪስቶች አሉ።	There are too many tourists.	Turistoonni baay'eetu jiru.
አሁን ለምን አታናግረኝም?	Why don't you talk to me now?	Amma maaliif natti hin dubbattu?
እዚህ አትሩጡ።	Don't run here.	Asitti hin fiiginaa.
ከረጅም ጊዜ በፊት አቆምኩ።	I stopped a long time ago.	Yeroo dheeraa duran dhiise.
ብእሬን ፈልጌ ነው።	I'm looking for my pen.	Qalama koo barbaadaan jira.
ድመቷ ከሞተች በኋላ ደስተኛ አልነበረችም።	She was not happy after the cat died.	Erga Adurreen ishee duutee gammachuu hin qabdu.
በጣም አስፈላጊ ከሆነ ብቻ አቋርጠኝ።	Only interrupt me if necessary.	Yoo baay'ee barbaachisaa ta'e qofa na addaan kuta.
በቶም ቢሮ ውስጥ ካዝና አለ።	There is a safe in Tom's office.	Waajjira Toom keessa seeftiin jira.
ቶም የጋብቻ ቀለበቱን በተሳሳተ እጁ ለብሷል።	Tom is wearing his wedding ring on the wrong hand.	Toom qalabata gaa'ela isaa harka dogoggoraa irratti hidhateera.
ህይወታችንን የማጣት አደጋ ላይ ነበርን።	ERROR: The read operation timed out.	Balaa lubbuu keenya dhabuu keessa turre.
ስፓኒሽ ቀላል ነው።	Spanish is easy.	Afaanni Speen salphaadha.
ፈረንሳይኛ መማር አስደሳች ነው።	Learning French is fun.	Afaan Faransaayii barachuun nama gammachiisa.
የቶም ልደት ትናንት ነበር።	Tom's birthday was yesterday.	Guyyaan dhaloota Toom kaleessa ture.
ስሜ እንድታወስ እፈልጋለሁ።	I want you to remember my name.	Maqaan koo akka yaadatamu nan barbaada.
ሰወች እንደ ኦድሪ ሄፕበርን አይነግሩህም።	People don't tell you like Audrey Hepburn.	Namoonni Audrey Hepburn fakkaatta sitti hin himan.
እሱን ልመታው ብየ አይደለም።	I'm not going to hit him.	Isa rukutuuf jedhee hin turre.
የተያዘው ምንድን ነው?	What is the catch?	Maal qabe?
ቶም በጥንቃቄ ተመልክቷል።	Tom watched carefully.	Toom of eeggannoodhaan ilaale.
ፍቅር ከሞት ይበልጣል።	Love is greater than death.	Du'a caalaa jaalalli cimaadha.
ፖም ጣፋጭ ነው።	Apple is sweet.	Appiliin mi'aawaa dha.
በምናምነው በእግዚአብሄር።	in god we trust.	Waaqayyotti amananna.
ምን ያህል ተጨማሪ ስራ አለህ?	How much more work do you have?	Hojii dabalataa akkamii qabda?
ብዙ የሚደረጉ ነገሮች አሉ።	There are many things to do.	Wantoonni hojjetamuu qaban baay'eedha.
መጥረጊያውን በመደርደሪያው ውስጥ ያስቀምጡት።	Place the broom in the drawer.	Haxooftuu kana sheelfiirra kaa'i.
ለስራ ወላጆች ነፃ ጊዜ በዋጋ ነው።	Free time is at a premium for working parents.	Yeroon bilisaa warra hojjetaniif gatii guddaa qaba.
ብርሃኑ አይሰራም።	The light does not work.	Ifnitichi hin hojjetu.
ለምን ቀድመህ አልመጣህም?	Why didn't you come earlier?	Maaliif dursitee hin dhufne?
ቶም በፀሃይ ተቃጥሏል።	Tom got sunburned.	Toom aduudhaan gubate.
ስራየን ለመለወጥ አስቤ ነበር, ግን በመጨረሻ ላለማድረግ ወሰንኩ።	I thought about changing careers, but in the end I decided not to.	Hojii koo jijjiiruuf yaadeen ture, dhumarratti garuu akkan hin goone murteesse.
ሁሉንም እርዳታህን አደንቃለሁ።	I appreciate all your help.	Gargaarsa kee hunda nan dinqisiifadha.
ብዙም አልተኛም።	I don't sleep much.	Baay'ee hin rafne.
ቶም ሃሳብ አቀረበ።	Tom suggested.	Toom yaada dhiheesse.
ቤት ውስጥ ያለው ማነው?	Who is in the house?	Mana keessa kan jiru eenyudha?
ዘፈን ልትዘፍንልን ትችላለህ።	You can sing us a song.	Sirba nuuf sirbuu dandeessaa.
ማጉረምረም አልችልም።	I can't complain.	Iyyachuu hin danda'u.
ቶም ልክ እንደኔ መጠን ነው።	Tom is the same size as me.	Toom ana wajjin wal qixadha.
ታዋቂ ሆነች።	She became famous.	Isheenis beekamtii argatte.
ይህ ምንም አልገባኝም።	I don't understand this at all.	Kana keessaa tokkollee naaf hin galle.
የእርስወን መጠን አለን, ነገር ግን በዚያ ቀለም ውስጥ አይደለም።	We have your size, but not in that color.	Hamma isin gahu qabna, garuu halluu sanaan miti.
ቤዝቦል እጫወት ነበር።	I used to play baseball.	Beeysiboolii nan taphata ture.
ቶም አሁን ስብሰባ ላይ ነው።	Tom is in a meeting now.	Toom yeroo ammaa kana walgahii irra jira.
ማንም ሰው ለምን እንደዚህ ያለ ነገር ለመስረቅ እንደሚፈልግ መገመት አልችልም።	I can't imagine why anyone would want to steal something like that.	Namni kamiyyuu maaliif waan akkasii hatuu akka barbaadu tilmaamuun na rakkisa.
ይህን እቃ ከዚህ አውጣ።	Get this item out of here.	Waan kana as keessaa baasi.
ጠመንጃችንን መጠቀም እንደሌለብን ተስፋ እናድርግ።	Let's hope we don't have to use our guns.	Qawwee keenya fayyadamuu akka hin qabne qofa abdiin qaba.
መደርደሪያህ በመፅሃፍ የተሞላ ነው።	Your shelves are full of books.	Sheelfiin kee kitaabotaan guutameera.
ተከታተልኩት።	I followed it.	Ani isa duukaa bu'e.
መሄድ ወይም አለመሄድ ምንም ለውጥ አያመጣም።	It doesn't matter if you go or not.	Deemtees deemuu baattus garaagarummaa hin qabu.
የሆድ እጢ ገጥሞኝ ቀዶ ጥገና ማድረግ ነበረብኝ።	I had a stomach tumor and had to have surgery.	Garaan dhukkubbiin waan na mudateef baqaqsanii hodhuun narra ture.
መፅሃፍ እያነበብኩ ነበር።	I was reading a book.	Kitaaba dubbisaa ture.
ወላጆቸ አለባበሴን አይወዱም።	My parents don't like my clothes.	Warri koo akkaataan ani itti uffadhu hin jaallatan.
መለወጥ ፈልጌ ነበር።	I wanted to change.	Jijjiiramuu barbaade ture.
የእሱ ትችቶች በጣም ከባድ ነበሩ።	His criticisms were very harsh.	Qeeqni isaa baayyee cimaa ture.
እሱ በጣም ተከላካይ ነው።	He is very protective.	Inni baay'ee eegumsatti cimaadha.
ለቶም ምን ማድረግ እንዳለብወት መንገር አለብወት።	You have to tell Tom what to do.	Maal gochuu akka qabu Toomitti himuu qabda.
በስብሰባው መጨረሻ ላይ ስልክ ቁጥሮች ተለዋወጥን።	At the end of the meeting we exchanged phone numbers.	Xumura walga'ii sanaa irratti lakkoofsa bilbilaa wal jijjiirre.
ጓደኞቸ ሁሉም ባለትዳር ናቸው።	His friends are all married.	Hiriyoonni koo hundi isaanii gaa'ela godhataniiru.
ልጁን ከተቃጠለበት ቤት አዳነው።	He saved his son from a burning house.	Daa'ima kana mana gubate keessaa baraare.
አንድ ኢንች ስጠው ግቢ ይወስዳል።	Give him an inch and he'll take a yard.	Inchii tokko kennitee yaardii tokko fudhata.
ቶም ነገ ይህን ያደርጋል ብየ አስባለሁ።	I think Tom will do this tomorrow.	Toom boru akkas godha jedheen yaada.
ዛሬ አሳ ማጥመድ የለብህም።	You don't have to go fishing today.	Har'a qurxummii qabuu hin qabdu.
ትክክለኛውን ውሳኔ እናደርጋለን።	We will make the right decision.	Murtoo sirrii ta'e ni murteessina.
ከንግድህ አላወራህም።	I'm not talking you out of your business.	Kana booda si waliin hin dubbadhu.
ነገ ያንን ማድረግ ያለብኝ ይመስለኛል።	I think I'll have to do that tomorrow.	Boru akkas gochuu qaba jedheen yaada.
ከቸኮሉ ትኬቶች አሁንም ይገኛሉ።	If you hurry, tickets are still available.	Yoo ariifattan ammallee tikkeettiin ni argama.
ትናንት ማታ በዘጠኝ ሰአት ቴሌቪዥን እየተመለከቱ ነበር።	They were watching television at nine o'clock last night.	Halkan edaa sa'aatii sagalitti TV ilaalaa turtanii.
የሆነ ነገር አይቻለሁ።	I saw something.	Waan ta'e argeera.
ስራየን ስጨርስ እረዳሃለሁ።	I will help you when I finish our work.	Hojii koo yeroon xumuru sin gargaara.
ሃሳቤን ቀይሬያለሁ።	I changed my mind.	Yaada koo jijjiireera.
አንድ ጠቃሚ ነገር ልነግርህ ነው የመጣሁት።	I have come to tell you something important.	Waan barbaachisaa sitti himuufan as dhufe.
ከእስር ቤት አምልጠዋል።	They escaped from prison.	Mana hidhaa keessaa miliqan.
ስለ ጉዳዩ ልንነግረው ይገባል።	We should tell him about it.	Waa'ee isaa itti himuu qabna.
ሊፍቱን ወደ አራተኛው ፎቅ ወሰድኩት።	I took the elevator to the fourth floor.	Liftii fudhadheen gara kutaa afraffaa deeme.
በሰራተኞቹ ፊት አደረገው።	He did it in front of the workers.	Hojjettoota fuulduratti raawwate.
እዚህ ተጠቂው እኔ ነኝ።	I am the victim here.	Ani asitti miidhamaa dha.
