Amharic,English,Oromo,duplication_group,pair_type,language_pair
ካንሰር ነው።,Kaansariidhaa.,It is cancer.,0,trilingual,en_am_or
ሃይቁ ከዚህ በጣም ሩቅ ነው።,Haroon kun as irraa fagoodha.,The lake is far from here.,0,trilingual,en_am_or
ጨውን አሳልፈኝ።,Soogidda naaf dabarsi.,Pass me the salt.,0,trilingual,en_am_or
ዶክተር ብለው ጠሩኝ።,Doktara jedhanii na waaman.,They called me doctor.,0,trilingual,en_am_or
ፊልሙ ከጠበቅኩት በላይ ነበር።,Fiilmiin sun waanan eege caalaa gaarii ture.,The movie exceeded my expectations.,0,trilingual,en_am_or
ብዙውን ጊዜ በአራት ሰአት ወደ ቤት እሄዳለሁ።,Yeroo baayyee sa'aatii afuriitti gara manaatti nan deebi'a.,I usually go home at four o'clock.,0,trilingual,en_am_or
እንደ ትንሽ ልጅ ነው የምትሰራው።,Akka daa'ima xiqqaatti hojjechaa jirta.,You act like a little girl.,0,trilingual,en_am_or
በረጅሙ ነጭ ፀጉርህ ከሩቅ አገኝሃለሁ።,Rifeensa kee dheeraa adii ta'een fagoodhaa si arguu nan danda'a.,I can see you from afar with your long white hair.,0,trilingual,en_am_or
የሆነ ነገር ጥሩ ይሸታል።,Wanti ta'e tokko foolii gaarii qaba.,Something smells good.,0,trilingual,en_am_or
ምን ማድረግ እንዳለብኝ ለማወቅ በጠዋት አሳለፍኩ።,maal akkan godhu adda baasudhafan ganamaan dabarse.,I spent the morning figuring out what to do.,0,trilingual,en_am_or
ቶም ዛሬ ከሰአት በኋላ ወደ ዋና ሊሄድ ነው።,Toom har'a waaree booda bishaan daakaa deemuuf jira.,Tom is going swimming this afternoon.,0,trilingual,en_am_or
በካርዶች ጨዋታ ላይ ላስደስትህ እችላለሁ።,Taphni kaardii si hawwachuu danda'aa.,I can entertain you in a card game.,0,trilingual,en_am_or
አርጅቸ ሊሆን ይችላል ግን አላበድኩም።,"Dulloomuu danda'a, garuu hin maraadhu.","I may be old, but I'm not crazy.",0,trilingual,en_am_or
እሱ እዚህ አለ።,Inni as jira.,He is here.,0,trilingual,en_am_or
በዚህ ጉዳይ ላይ መግባባት ላይ መድረስ እንችላለን።,Dhimma kana irratti waliigalteerra gahuu dandeenyaa.,We can reach an agreement on this issue.,0,trilingual,en_am_or
አውሮፕላኑ በግርፋት አረፈ።,Xiyyaarri kun sagalee guddaadhaan bu'e.,The plane landed with a thud.,0,trilingual,en_am_or
የኛ ጉዳይ አይደለም።,Dhimma keenya miti.,It's none of our business.,0,trilingual,en_am_or
ቶም ከማርያም ጋር መስራት ይፈልጋል።,Toom Maariyaam wajjin hojjechuu barbaada.,Tom wants to work with Mary.,0,trilingual,en_am_or
የጨረቃ ባለቤት ማንም የለም።,Namni ji'a abbummaasa qabu hin jiru.,No one owns the moon.,0,trilingual,en_am_or
ሌላ ነገር ላገኝህ እችላለሁ።,Waan biraa siif arguu danda'aa.,I can find you something else.,0,trilingual,en_am_or
በጣም ደክሞኛል።,Baay'een dadhabe.,I am so tired.,0,trilingual,en_am_or
በከተማችን ውስጥ ቤተ መፃህፍት አለ።,Magaalaa keenya keessa manni kitaabaa jira.,There is a library in our town.,0,trilingual,en_am_or
የፈለጋቸው እነዚያ ናቸው።,Isaan sun warra ati barbaaddee.,Those are what you want.,0,trilingual,en_am_or
ንደቷን አጥታ ጮሀችኝ።,Aarii dhabdee natti iyyite.,She lost her temper and shouted at me.,0,trilingual,en_am_or
ከእኔ ጋር አትመጣም።,Na waliin hin dhuftuu.,You will not come with me.,0,trilingual,en_am_or
በእውነቱ እንደዚህ ያለ ነገር አደርጋለሁ ብለው ያስባሉ።,Dhuguma waan akkasii nan hojjedha jettee yaaddaa.,You really think I would do something like that.,0,trilingual,en_am_or
እያንዳንዱ ተማሪ መቆለፊያ አለው።,Tokkoon tokkoon barattootaa Furtuun cufuu qabu.,Each student has a locker.,0,trilingual,en_am_or
በስም አውቃታለሁ።,Maqaa isheen beeka.,I know her by name.,0,trilingual,en_am_or
አለቃህ ነኝ።,Ani hogganaa kee ti.,I'm your boss.,0,trilingual,en_am_or
ወድያው ወደደችው።,Achumaan isa jaallatte.,She loved him immediately.,0,trilingual,en_am_or
ልጀ ጋዜጠኛ ነው።,Ilmi koo gaazexeessaadha.,My son is a journalist.,0,trilingual,en_am_or
ቶም እና ሜሪ ያ እውነት እንዳልሆነ ሁለቱም ያውቃሉ።,Toomii fi Maariyam lamaan isaanii iyyuu sun dhugaa akka hin taane beeku.,Tom and Mary both know that's not true.,0,trilingual,en_am_or
በእርግጠኝነት ተደሰትን አይደል?,Nuti dhuguma bashannanne mitii?,"We certainly enjoyed it, didn't we?",0,trilingual,en_am_or
"ትናንት, አንድ ፖም በላሁ።","Kaleessa, Appilii tokkon nyaadhe.","Yesterday, I ate an apple.",0,trilingual,en_am_or
በስብሰባው ላይ አልነበረም።,Walgahicha irratti hin argamne.,He was not at the meeting.,0,trilingual,en_am_or
ሁሉም ነገር በጥሩ ሁኔታ ተከናውኗል።,Wanti hundinuu akka gaariitti ta'e.,Everything is done well.,0,trilingual,en_am_or
ይህ ሁሉ የሚሆነው እዚህ ነው።,Bakki kun hundinuu ta'a.,This is where it all happens.,0,trilingual,en_am_or
በቅርቡ ክብደቴን አጣሁ።,Dhiheenya kana ulfaatina qaamaa hir'iseen jira.,I recently lost weight.,0,trilingual,en_am_or
ቶም ብዙውን ጊዜ ፊልም ሲመለከት ፖፕኮርን ይበላል።,Toom yeroo baayyee yeroo fiilmii ilaalu faandishaa nyaata.,Tom often eats popcorn while watching a movie.,0,trilingual,en_am_or
በቋሚ ፍርሃት ይኖራሉ።,Sodaa yeroo hunda keessa jiraatu.,They live in constant fear.,0,trilingual,en_am_or
ራሴን ብሆንም ሳቅሁ።,Ofii koo utuu ta'ees jedheen kolfe.,I laughed in spite of myself.,0,trilingual,en_am_or
ብዙ መስራት አለብን።,Waan baay'ee hojjechuu qabna.,We have a lot to do.,0,trilingual,en_am_or
አንድ ነገር ማድረግ አለብኝ።,Waan tokko gochuun qaba.,I have to do something.,0,trilingual,en_am_or
ቸኮሌት አይስክሬም እወዳለሁ።,Ayskiriimii chokoleetii nan jaalladha.,I love chocolate ice cream.,0,trilingual,en_am_or
እዚሁ ነኝ።,Asuman jira.,I'm right here.,0,trilingual,en_am_or
ሃሳቧን ወሰነች እና ከሱ ለመነጋገር ፈቃደኛ አልሆነችም።,Yaada isheetti murteessitee isa waliin dubbachuu didde.,She made up her mind and refused to talk to him.,0,trilingual,en_am_or
በኋላ መሰባሰብ እንደምንችል አስቤ ነበር።,Booda walitti qabamuu dandeenya jedheen yaade.,I thought we could get together later.,0,trilingual,en_am_or
እባክህ እንደገና አትፃፍልኝ።,Maaloo ammas naaf hin barreessinaa.,Please don't write to me again.,0,trilingual,en_am_or
እንግሊዘኛ ብቻ ነው የምችለው።,Afaan Ingilizii qofa dubbachuu nan danda'a.,I can only speak English.,0,trilingual,en_am_or
ጉዳዩን እንመልከተው።,Mee dhimmicha haa ilaallu.,Let's look at the issue.,0,trilingual,en_am_or
ፈተናውን እንደማለፉ እርግጠኛ ነኝ።,Qormaata kana akkan darbu mirkaneeffadheeradha.,I am sure you will pass the test.,0,trilingual,en_am_or
በጃፓን በምትቆይበት ጊዜ ብዙ ጊዜ ኪዮቶን ትጎበኝ ነበር።,Yeroo Jaappaan keessa turtetti yeroo baayʼee Kiyootoo daawwatti turte.,"During her stay in Japan, she often visited Kyoto.",0,trilingual,en_am_or
በእውነት መሄድ አለብን።,Dhuguma deemuu qabna.,We really have to go.,0,trilingual,en_am_or
እንደጨረስን እገምታለሁ።,Xumurameerra jedheen tilmaama.,I guess we're done.,0,trilingual,en_am_or
ይህንን ስራ ከመጨለሙ በፊት መጨረስ አለብኝ።,Hojii kana osoo hin dukkanaa'in xumuruun na barbaachisa.,I have to finish this work before it gets dark.,0,trilingual,en_am_or
ቶም ምን ማድረግ እንዳለበት አያውቅም ነበር።,Toom maal akka godhu hin beeku ture.,Tom didn't know what to do.,0,trilingual,en_am_or
ሂደትህን ከኮምፒውተሬ እከታተላለሁ።,Adeemsa keessan kompiitara koo irraan hordofa.,I will monitor your progress from my computer.,0,trilingual,en_am_or
እኛም እንደዛው እናደርግልሃለን።,Nutis akkasuma goona.,We will do the same for you.,0,trilingual,en_am_or
በደሴቲቱ ራቅ ወዳለ ቦታ ላይ የሚያምር ሰማያዊ ሃይቅ አገኘን።,Odola sana gama fagootti laga bareedaa fi bifa diimaa qabu arganne.,We found a beautiful blue lake on the far side of the island.,0,trilingual,en_am_or
እንድህ አይነቱ የአየር ሁኔታ ከቤት ውስጥ እንድቆይ ያደርገኛል።,Haalli qilleensaa akkanaa mana keessa na tursiisa.,Weather like this keeps me indoors.,0,trilingual,en_am_or
አንድም ቃል ማመን አይችሉም።,Jecha tokkollee amanuu hin dandeessan.,You can't believe a word.,0,trilingual,en_am_or
ባለፈው ቀን ያበደርኩህን መፅሃፍ እንድትመልስልኝ እፈልጋለሁ።,Kitaaba guyyaa darbe siif ergise akka deebistu nan barbaada.,I want you to return the book I lent you the other day.,0,trilingual,en_am_or
ሁሉም ዝግጁ ናቸው።,Hundi isaanii qophiidhaa.,All are ready.,0,trilingual,en_am_or
ቶም ምንም እዳ የለንም።,"Toom, liqiin homaa hin qabnu.","Tom, we owe you nothing.",0,trilingual,en_am_or
ማይክሮፎኔ የት አለ?,Maaykiroofooniin koo eessa jira?,Where is my microphone?,0,trilingual,en_am_or
መቸም መፋታት አልነበረብኝም።,Silaa gonkumaa wal hiikuu hin qabu ture.,I should never have gotten divorced.,0,trilingual,en_am_or
መጥፎው የአየር ሁኔታ እንዳልሄድ እየከለከለኝ ነው።,Haalli qilleensaa hamaan akkan hin deemne na dhorkaa jira.,The bad weather is preventing me from going.,0,trilingual,en_am_or
በአውሮፓ ጦርነት አብቅቷል።,Waraanni Awurooppaa keessatti geggeeffamaa ture xumurame.,The war in Europe is over.,0,trilingual,en_am_or
ገመዶቹ አግድም ነበሩ።,Funyoonni sun wal-qixa turan.,The ropes were horizontal.,0,trilingual,en_am_or
መዝፈን እወዳለሁ።,Sirbuun natti tola.,I like to sing.,0,trilingual,en_am_or
ምንም ተጨማሪ አያስፈልገንም።,Kana caalaa nu hin barbaachisu.,We don't need anything more.,0,trilingual,en_am_or
ስራ ላይ ነን።,Hojiirra jirra.,We are busy.,0,trilingual,en_am_or
ቶም ልቡ እንደሚሰበር አውቃለሁ።,Toom garaan isaa akka cabe nan beeka.,I know Tom will be heartbroken.,0,trilingual,en_am_or
ቶም በሩን ለመክፈት ሞከረ።,Toom balbala banuuf yaale.,Tom tried to open the door.,0,trilingual,en_am_or
ይህን ማድረግ የምንችል አይመስለኝም ነበር።,Akkas gochuu dandeenya jedhee hin yaadne.,I didn't think we could do this.,0,trilingual,en_am_or
በደወልኩ ቁጥር እሱ ይወጣል።,Yeroon bilbilu hunda inni ni dhufa.,"Every time I call, he comes out.",0,trilingual,en_am_or
ጥቁር ካፖርት በዚህ ክረምት ፋሽን ነው።,Kootiin gurraachi ganna kana faashinii ta'ee jira.,Black coat is fashionable this winter.,0,trilingual,en_am_or
እርስወ ሲሆኑ ዝግጁ ነኝ።,Gaafa ati taate qophiidha.,I'm ready when you are.,0,trilingual,en_am_or
አብረን እንብላ።,Waliin haa nyaannu.,Let's eat together.,0,trilingual,en_am_or
ቶም ቦታውን እንድወስድ ይፈልጋል።,Toom bakka isaa akkan fudhadhu barbaada.,Tom wants me to take his place.,0,trilingual,en_am_or
ተረጋግተን መነጋገር አለብን።,Tasgabbiidhaan waliin haasa'uu qabna.,We need to calm down and talk.,0,trilingual,en_am_or
እርሻ ላይ ሰርቻለሁ።,Qonnarra hojjedheera.,I worked on a farm.,0,trilingual,en_am_or
እስከ ሰኞ ድረስ ወረቀትወን በጠረጴዛየ ላይ ያድርጉ።,Waraqaa keessan hanga wiixataatti deeskiiirra kaa'a.,Put the paper on the table until Monday.,0,trilingual,en_am_or
ወይዘሮ ስሚዝ የእንግሊዘኛ መምህር ናት።,Aadde Ismiiz barsiisaa Afaan Ingiliffaadhaa.,Mrs. Smith is an English teacher.,0,trilingual,en_am_or
እሱ እዚህ ቢኖር ምን ይል ነበር?,Osoo as jiraatee maal jedha?,What would he say if he was here?,0,trilingual,en_am_or
ሃይቁ በረዶ ነበር።,Haroon sun cabbii ture.,The lake was frozen.,0,trilingual,en_am_or
ተማሪወቹ ያከብሩት ነበር።,Barattoonni isaa isa kabaju turan.,The students adored him.,0,trilingual,en_am_or
ቶም ዛሬ ምሽት ግብዣ እያደረገ ነው።,Toom galgala kana affeerraa kennaa jira.,Tom is having a party tonight.,0,trilingual,en_am_or
ችግሮቹን እንድወጣ ረድቶኛል።,Rakkoowwan na mudatan akkan moʼu na gargaareera.,It helped me overcome the problems.,0,trilingual,en_am_or
ከወንድሙ ጋር ተጣላ።,Obboleessa isaa waliin lole.,He had a fight with his brother.,0,trilingual,en_am_or
ቶም አጭር እግሮች አሉት።,Toom miila gabaabaa qaba.,Tom has short legs.,0,trilingual,en_am_or
እስካሁን ስንት አመትህ እንዳለህ አልነገርከኝም።,Ammallee umriin kee meeqa akka ta'e natti hin himne.,You still haven't told me how old you are.,0,trilingual,en_am_or
ፈረንሳይኛ ማጥናት አለብህ።,Afaan Faransaayii barachuu qabda.,You should study French.,0,trilingual,en_am_or
ፕሮፌሽናል የባንጆ ተጫዋች ለመሆን በሽወች የሚቆጠሩ ሰአታት ልምምድ ማድረግ ያስፈልግወታል።,Taphataa ogeessa ta'uuf sa'aatii kumaatamaan lakkaa'aman shaakala gochuu qabda.,Becoming a professional banjo player requires countless hours of practice.,0,trilingual,en_am_or
ስህተት ነበር ብየ አላምንም።,Dogoggora ture jedhee hin amanu.,I don't believe it was a mistake.,0,trilingual,en_am_or
ግልቢያ ብትሰጡኝ ጥሩ ነው።,Osoo Yaabbannoo naaf kennitaniigaariidha.,It would be great if you could give me a ride.,0,trilingual,en_am_or
ያንን ማድረግ እንደምፈልግ አላውቅም።,Akkas gochuu akkan barbaadu hin beeku.,I don't know if I want to do that.,0,trilingual,en_am_or
እሱን ወደዚህ አምጥተህ ምን እያሰብክ ነበር?,Maal yaadaa turte asitti isa fiduuf?,What were you thinking of bringing him here?,0,trilingual,en_am_or
በጣም ብዙ ቱሪስቶች አሉ።,Turistoonni baay'eetu jiru.,There are too many tourists.,0,trilingual,en_am_or
አሁን ለምን አታናግረኝም?,Amma maaliif natti hin dubbattu?,Why don't you talk to me now?,0,trilingual,en_am_or
እዚህ አትሩጡ።,Asitti hin fiiginaa.,Don't run here.,0,trilingual,en_am_or
ከረጅም ጊዜ በፊት አቆምኩ።,Yeroo dheeraa duran dhiise.,I stopped a long time ago.,0,trilingual,en_am_or
ብእሬን ፈልጌ ነው።,Qalama koo barbaadaan jira.,I'm looking for my pen.,0,trilingual,en_am_or
ድመቷ ከሞተች በኋላ ደስተኛ አልነበረችም።,Erga Adurreen ishee duutee gammachuu hin qabdu.,She was not happy after the cat died.,0,trilingual,en_am_or
በጣም አስፈላጊ ከሆነ ብቻ አቋርጠኝ።,Yoo baay'ee barbaachisaa ta'e qofa na addaan kuta.,Only interrupt me if necessary.,0,trilingual,en_am_or
በቶም ቢሮ ውስጥ ካዝና አለ።,Waajjira Toom keessa seeftiin jira.,There is a safe in Tom's office.,0,trilingual,en_am_or
ቶም የጋብቻ ቀለበቱን በተሳሳተ እጁ ለብሷል።,Toom qalabata gaa'ela isaa harka dogoggoraa irratti hidhateera.,Tom is wearing his wedding ring on the wrong hand.,0,trilingual,en_am_or
ህይወታችንን የማጣት አደጋ ላይ ነበርን።,Balaa lubbuu keenya dhabuu keessa turre.,ERROR: The read operation timed out.,0,trilingual,en_am_or
ስፓኒሽ ቀላል ነው።,Afaanni Speen salphaadha.,Spanish is easy.,0,trilingual,en_am_or
ፈረንሳይኛ መማር አስደሳች ነው።,Afaan Faransaayii barachuun nama gammachiisa.,Learning French is fun.,0,trilingual,en_am_or
የቶም ልደት ትናንት ነበር።,Guyyaan dhaloota Toom kaleessa ture.,Tom's birthday was yesterday.,0,trilingual,en_am_or
ስሜ እንድታወስ እፈልጋለሁ።,Maqaan koo akka yaadatamu nan barbaada.,I want you to remember my name.,0,trilingual,en_am_or
ሰወች እንደ ኦድሪ ሄፕበርን አይነግሩህም።,Namoonni Audrey Hepburn fakkaatta sitti hin himan.,People don't tell you like Audrey Hepburn.,0,trilingual,en_am_or
እሱን ልመታው ብየ አይደለም።,Isa rukutuuf jedhee hin turre.,I'm not going to hit him.,0,trilingual,en_am_or
የተያዘው ምንድን ነው?,Maal qabe?,What is the catch?,0,trilingual,en_am_or
ቶም በጥንቃቄ ተመልክቷል።,Toom of eeggannoodhaan ilaale.,Tom watched carefully.,0,trilingual,en_am_or
ፍቅር ከሞት ይበልጣል።,Du'a caalaa jaalalli cimaadha.,Love is greater than death.,0,trilingual,en_am_or
ፖም ጣፋጭ ነው።,Appiliin mi'aawaa dha.,Apple is sweet.,0,trilingual,en_am_or
