Amharic,Oromo,English
ቸኮሌት አይስክሬም እወዳለሁ።,Ayskiriimii chokoleetii nan jaalladha.,I love chocolate ice cream.
እዚሁ ነኝ።,Asuman jira.,I'm right here.
ሃሳቧን ወሰነች እና ከሱ ለመነጋገር ፈቃደኛ አልሆነችም።,Yaada isheetti murteessitee isa waliin dubbachuu didde.,She made up her mind and refused to talk to him.
በኋላ መሰባሰብ እንደምንችል አስቤ ነበር።,Booda walitti qabamuu dandeenya jedheen yaade.,I thought we could get together later.
እባክህ እንደገና አትፃፍልኝ።,Maaloo ammas naaf hin barreessinaa.,Please don't write to me again.
እንግሊዘኛ ብቻ ነው የምችለው።,Afaan Ingilizii qofa dubbachuu nan danda'a.,I can only speak English.
ጉዳዩን እንመልከተው።,Mee dhimmicha haa ilaallu.,Let's look at the issue.
ፈተናውን እንደማለፉ እርግጠኛ ነኝ።,Qormaata kana akkan darbu mirkaneeffadheeradha.,I am sure you will pass the test.
በጃፓን በምትቆይበት ጊዜ ብዙ ጊዜ ኪዮቶን ትጎበኝ ነበር።,Yeroo Jaappaan keessa turtetti yeroo baayʼee Kiyootoo daawwatti turte.,"During her stay in Japan, she often visited Kyoto."
በእውነት መሄድ አለብን።,Dhuguma deemuu qabna.,We really have to go.
እንደጨረስን እገምታለሁ።,Xumurameerra jedheen tilmaama.,I guess we're done.
ይህንን ስራ ከመጨለሙ በፊት መጨረስ አለብኝ።,Hojii kana osoo hin dukkanaa'in xumuruun na barbaachisa.,I have to finish this work before it gets dark.
ቶም ምን ማድረግ እንዳለበት አያውቅም ነበር።,Toom maal akka godhu hin beeku ture.,Tom didn't know what to do.
ሂደትህን ከኮምፒውተሬ እከታተላለሁ።,Adeemsa keessan kompiitara koo irraan hordofa.,I will monitor your progress from my computer.
እኛም እንደዛው እናደርግልሃለን።,Nutis akkasuma goona.,We will do the same for you.
በደሴቲቱ ራቅ ወዳለ ቦታ ላይ የሚያምር ሰማያዊ ሃይቅ አገኘን።,Odola sana gama fagootti laga bareedaa fi bifa diimaa qabu arganne.,We found a beautiful blue lake on the far side of the island.
እንድህ አይነቱ የአየር ሁኔታ ከቤት ውስጥ እንድቆይ ያደርገኛል።,Haalli qilleensaa akkanaa mana keessa na tursiisa.,Weather like this keeps me indoors.
አንድም ቃል ማመን አይችሉም።,Jecha tokkollee amanuu hin dandeessan.,You can't believe a word.
ባለፈው ቀን ያበደርኩህን መፅሃፍ እንድትመልስልኝ እፈልጋለሁ።,Kitaaba guyyaa darbe siif ergise akka deebistu nan barbaada.,I want you to return the book I lent you the other day.
ሁሉም ዝግጁ ናቸው።,Hundi isaanii qophiidhaa.,All are ready.
ቶም ምንም እዳ የለንም።,"Toom, liqiin homaa hin qabnu.","Tom, we owe you nothing."
ማይክሮፎኔ የት አለ?,Maaykiroofooniin koo eessa jira?,Where is my microphone?
መቸም መፋታት አልነበረብኝም።,Silaa gonkumaa wal hiikuu hin qabu ture.,I should never have gotten divorced.
መጥፎው የአየር ሁኔታ እንዳልሄድ እየከለከለኝ ነው።,Haalli qilleensaa hamaan akkan hin deemne na dhorkaa jira.,The bad weather is preventing me from going.
በአውሮፓ ጦርነት አብቅቷል።,Waraanni Awurooppaa keessatti geggeeffamaa ture xumurame.,The war in Europe is over.
ገመዶቹ አግድም ነበሩ።,Funyoonni sun wal-qixa turan.,The ropes were horizontal.
መዝፈን እወዳለሁ።,Sirbuun natti tola.,I like to sing.
ምንም ተጨማሪ አያስፈልገንም።,Kana caalaa nu hin barbaachisu.,We don't need anything more.
ስራ ላይ ነን።,Hojiirra jirra.,We are busy.
ቶም ልቡ እንደሚሰበር አውቃለሁ።,Toom garaan isaa akka cabe nan beeka.,I know Tom will be heartbroken.
ቶም በሩን ለመክፈት ሞከረ።,Toom balbala banuuf yaale.,Tom tried to open the door.
ይህን ማድረግ የምንችል አይመስለኝም ነበር።,Akkas gochuu dandeenya jedhee hin yaadne.,I didn't think we could do this.
በደወልኩ ቁጥር እሱ ይወጣል።,Yeroon bilbilu hunda inni ni dhufa.,"Every time I call, he comes out."
ጥቁር ካፖርት በዚህ ክረምት ፋሽን ነው።,Kootiin gurraachi ganna kana faashinii ta'ee jira.,Black coat is fashionable this winter.
እርስወ ሲሆኑ ዝግጁ ነኝ።,Gaafa ati taate qophiidha.,I'm ready when you are.
አብረን እንብላ።,Waliin haa nyaannu.,Let's eat together.
ቶም ቦታውን እንድወስድ ይፈልጋል።,Toom bakka isaa akkan fudhadhu barbaada.,Tom wants me to take his place.
ተረጋግተን መነጋገር አለብን።,Tasgabbiidhaan waliin haasa'uu qabna.,We need to calm down and talk.
እርሻ ላይ ሰርቻለሁ።,Qonnarra hojjedheera.,I worked on a farm.
እስከ ሰኞ ድረስ ወረቀትወን በጠረጴዛየ ላይ ያድርጉ።,Waraqaa keessan hanga wiixataatti deeskiiirra kaa'a.,Put the paper on the table until Monday.
ወይዘሮ ስሚዝ የእንግሊዘኛ መምህር ናት።,Aadde Ismiiz barsiisaa Afaan Ingiliffaadhaa.,Mrs. Smith is an English teacher.
እሱ እዚህ ቢኖር ምን ይል ነበር?,Osoo as jiraatee maal jedha?,What would he say if he was here?
ሃይቁ በረዶ ነበር።,Haroon sun cabbii ture.,The lake was frozen.
ተማሪወቹ ያከብሩት ነበር።,Barattoonni isaa isa kabaju turan.,The students adored him.
ቶም ዛሬ ምሽት ግብዣ እያደረገ ነው።,Toom galgala kana affeerraa kennaa jira.,Tom is having a party tonight.
ችግሮቹን እንድወጣ ረድቶኛል።,Rakkoowwan na mudatan akkan moʼu na gargaareera.,It helped me overcome the problems.
ከወንድሙ ጋር ተጣላ።,Obboleessa isaa waliin lole.,He had a fight with his brother.
ቶም አጭር እግሮች አሉት።,Toom miila gabaabaa qaba.,Tom has short legs.
እስካሁን ስንት አመትህ እንዳለህ አልነገርከኝም።,Ammallee umriin kee meeqa akka ta'e natti hin himne.,You still haven't told me how old you are.
ፈረንሳይኛ ማጥናት አለብህ።,Afaan Faransaayii barachuu qabda.,You should study French.
ፕሮፌሽናል የባንጆ ተጫዋች ለመሆን በሽወች የሚቆጠሩ ሰአታት ልምምድ ማድረግ ያስፈልግወታል።,Taphataa ogeessa ta'uuf sa'aatii kumaatamaan lakkaa'aman shaakala gochuu qabda.,Becoming a professional banjo player requires countless hours of practice.
ስህተት ነበር ብየ አላምንም።,Dogoggora ture jedhee hin amanu.,I don't believe it was a mistake.
ግልቢያ ብትሰጡኝ ጥሩ ነው።,Osoo Yaabbannoo naaf kennitaniigaariidha.,It would be great if you could give me a ride.
ያንን ማድረግ እንደምፈልግ አላውቅም።,Akkas gochuu akkan barbaadu hin beeku.,I don't know if I want to do that.
እሱን ወደዚህ አምጥተህ ምን እያሰብክ ነበር?,Maal yaadaa turte asitti isa fiduuf?,What were you thinking of bringing him here?
በጣም ብዙ ቱሪስቶች አሉ።,Turistoonni baay'eetu jiru.,There are too many tourists.
አሁን ለምን አታናግረኝም?,Amma maaliif natti hin dubbattu?,Why don't you talk to me now?
እዚህ አትሩጡ።,Asitti hin fiiginaa.,Don't run here.
ከረጅም ጊዜ በፊት አቆምኩ።,Yeroo dheeraa duran dhiise.,I stopped a long time ago.
ብእሬን ፈልጌ ነው።,Qalama koo barbaadaan jira.,I'm looking for my pen.
ድመቷ ከሞተች በኋላ ደስተኛ አልነበረችም።,Erga Adurreen ishee duutee gammachuu hin qabdu.,She was not happy after the cat died.
በጣም አስፈላጊ ከሆነ ብቻ አቋርጠኝ።,Yoo baay'ee barbaachisaa ta'e qofa na addaan kuta.,Only interrupt me if necessary.
በቶም ቢሮ ውስጥ ካዝና አለ።,Waajjira Toom keessa seeftiin jira.,There is a safe in Tom's office.
ቶም የጋብቻ ቀለበቱን በተሳሳተ እጁ ለብሷል።,Toom qalabata gaa'ela isaa harka dogoggoraa irratti hidhateera.,Tom is wearing his wedding ring on the wrong hand.
ህይወታችንን የማጣት አደጋ ላይ ነበርን።,Balaa lubbuu keenya dhabuu keessa turre.,ERROR: The read operation timed out.
ስፓኒሽ ቀላል ነው።,Afaanni Speen salphaadha.,Spanish is easy.
ፈረንሳይኛ መማር አስደሳች ነው።,Afaan Faransaayii barachuun nama gammachiisa.,Learning French is fun.
የቶም ልደት ትናንት ነበር።,Guyyaan dhaloota Toom kaleessa ture.,Tom's birthday was yesterday.
ስሜ እንድታወስ እፈልጋለሁ።,Maqaan koo akka yaadatamu nan barbaada.,I want you to remember my name.
ሰወች እንደ ኦድሪ ሄፕበርን አይነግሩህም።,Namoonni Audrey Hepburn fakkaatta sitti hin himan.,People don't tell you like Audrey Hepburn.
እሱን ልመታው ብየ አይደለም።,Isa rukutuuf jedhee hin turre.,I'm not going to hit him.
የተያዘው ምንድን ነው?,Maal qabe?,What is the catch?
ቶም በጥንቃቄ ተመልክቷል።,Toom of eeggannoodhaan ilaale.,Tom watched carefully.
ፍቅር ከሞት ይበልጣል።,Du'a caalaa jaalalli cimaadha.,Love is greater than death.
ፖም ጣፋጭ ነው።,Appiliin mi'aawaa dha.,Apple is sweet.
በምናምነው በእግዚአብሄር።,Waaqayyotti amananna.,in god we trust.
ምን ያህል ተጨማሪ ስራ አለህ?,Hojii dabalataa akkamii qabda?,How much more work do you have?
ብዙ የሚደረጉ ነገሮች አሉ።,Wantoonni hojjetamuu qaban baay'eedha.,There are many things to do.
መጥረጊያውን በመደርደሪያው ውስጥ ያስቀምጡት።,Haxooftuu kana sheelfiirra kaa'i.,Place the broom in the drawer.
ለስራ ወላጆች ነፃ ጊዜ በዋጋ ነው።,Yeroon bilisaa warra hojjetaniif gatii guddaa qaba.,Free time is at a premium for working parents.
ብርሃኑ አይሰራም።,Ifnitichi hin hojjetu.,The light does not work.
ለምን ቀድመህ አልመጣህም?,Maaliif dursitee hin dhufne?,Why didn't you come earlier?
ቶም በፀሃይ ተቃጥሏል።,Toom aduudhaan gubate.,Tom got sunburned.
"ስራየን ለመለወጥ አስቤ ነበር, ግን በመጨረሻ ላለማድረግ ወሰንኩ።","Hojii koo jijjiiruuf yaadeen ture, dhumarratti garuu akkan hin goone murteesse.","I thought about changing careers, but in the end I decided not to."
ሁሉንም እርዳታህን አደንቃለሁ።,Gargaarsa kee hunda nan dinqisiifadha.,I appreciate all your help.
ብዙም አልተኛም።,Baay'ee hin rafne.,I don't sleep much.
ቶም ሃሳብ አቀረበ።,Toom yaada dhiheesse.,Tom suggested.
ቤት ውስጥ ያለው ማነው?,Mana keessa kan jiru eenyudha?,Who is in the house?
ዘፈን ልትዘፍንልን ትችላለህ።,Sirba nuuf sirbuu dandeessaa.,You can sing us a song.
ማጉረምረም አልችልም።,Iyyachuu hin danda'u.,I can't complain.
ቶም ልክ እንደኔ መጠን ነው።,Toom ana wajjin wal qixadha.,Tom is the same size as me.
ታዋቂ ሆነች።,Isheenis beekamtii argatte.,She became famous.
ይህ ምንም አልገባኝም።,Kana keessaa tokkollee naaf hin galle.,I don't understand this at all.
"የእርስወን መጠን አለን, ነገር ግን በዚያ ቀለም ውስጥ አይደለም።","Hamma isin gahu qabna, garuu halluu sanaan miti.","We have your size, but not in that color."
ቤዝቦል እጫወት ነበር።,Beeysiboolii nan taphata ture.,I used to play baseball.
ቶም አሁን ስብሰባ ላይ ነው።,Toom yeroo ammaa kana walgahii irra jira.,Tom is in a meeting now.
ማንም ሰው ለምን እንደዚህ ያለ ነገር ለመስረቅ እንደሚፈልግ መገመት አልችልም።,Namni kamiyyuu maaliif waan akkasii hatuu akka barbaadu tilmaamuun na rakkisa.,I can't imagine why anyone would want to steal something like that.
ይህን እቃ ከዚህ አውጣ።,Waan kana as keessaa baasi.,Get this item out of here.
ጠመንጃችንን መጠቀም እንደሌለብን ተስፋ እናድርግ።,Qawwee keenya fayyadamuu akka hin qabne qofa abdiin qaba.,Let's hope we don't have to use our guns.
መደርደሪያህ በመፅሃፍ የተሞላ ነው።,Sheelfiin kee kitaabotaan guutameera.,Your shelves are full of books.
ተከታተልኩት።,Ani isa duukaa bu'e.,I followed it.
መሄድ ወይም አለመሄድ ምንም ለውጥ አያመጣም።,Deemtees deemuu baattus garaagarummaa hin qabu.,It doesn't matter if you go or not.
የሆድ እጢ ገጥሞኝ ቀዶ ጥገና ማድረግ ነበረብኝ።,Garaan dhukkubbiin waan na mudateef baqaqsanii hodhuun narra ture.,I had a stomach tumor and had to have surgery.
መፅሃፍ እያነበብኩ ነበር።,Kitaaba dubbisaa ture.,I was reading a book.
ወላጆቸ አለባበሴን አይወዱም።,Warri koo akkaataan ani itti uffadhu hin jaallatan.,My parents don't like my clothes.
መለወጥ ፈልጌ ነበር።,Jijjiiramuu barbaade ture.,I wanted to change.
የእሱ ትችቶች በጣም ከባድ ነበሩ።,Qeeqni isaa baayyee cimaa ture.,His criticisms were very harsh.
እሱ በጣም ተከላካይ ነው።,Inni baay'ee eegumsatti cimaadha.,He is very protective.
ለቶም ምን ማድረግ እንዳለብወት መንገር አለብወት።,Maal gochuu akka qabu Toomitti himuu qabda.,You have to tell Tom what to do.
በስብሰባው መጨረሻ ላይ ስልክ ቁጥሮች ተለዋወጥን።,Xumura walga'ii sanaa irratti lakkoofsa bilbilaa wal jijjiirre.,At the end of the meeting we exchanged phone numbers.
ጓደኞቸ ሁሉም ባለትዳር ናቸው።,Hiriyoonni koo hundi isaanii gaa'ela godhataniiru.,His friends are all married.
ልጁን ከተቃጠለበት ቤት አዳነው።,Daa'ima kana mana gubate keessaa baraare.,He saved his son from a burning house.
አንድ ኢንች ስጠው ግቢ ይወስዳል።,Inchii tokko kennitee yaardii tokko fudhata.,Give him an inch and he'll take a yard.
ቶም ነገ ይህን ያደርጋል ብየ አስባለሁ።,Toom boru akkas godha jedheen yaada.,I think Tom will do this tomorrow.
ዛሬ አሳ ማጥመድ የለብህም።,Har'a qurxummii qabuu hin qabdu.,You don't have to go fishing today.
ትክክለኛውን ውሳኔ እናደርጋለን።,Murtoo sirrii ta'e ni murteessina.,We will make the right decision.
ከንግድህ አላወራህም።,Kana booda si waliin hin dubbadhu.,I'm not talking you out of your business.
ነገ ያንን ማድረግ ያለብኝ ይመስለኛል።,Boru akkas gochuu qaba jedheen yaada.,I think I'll have to do that tomorrow.
ከቸኮሉ ትኬቶች አሁንም ይገኛሉ።,Yoo ariifattan ammallee tikkeettiin ni argama.,"If you hurry, tickets are still available."
ትናንት ማታ በዘጠኝ ሰአት ቴሌቪዥን እየተመለከቱ ነበር።,Halkan edaa sa'aatii sagalitti TV ilaalaa turtanii.,They were watching television at nine o'clock last night.
የሆነ ነገር አይቻለሁ።,Waan ta'e argeera.,I saw something.
ስራየን ስጨርስ እረዳሃለሁ።,Hojii koo yeroon xumuru sin gargaara.,I will help you when I finish our work.
ሃሳቤን ቀይሬያለሁ።,Yaada koo jijjiireera.,I changed my mind.
አንድ ጠቃሚ ነገር ልነግርህ ነው የመጣሁት።,Waan barbaachisaa sitti himuufan as dhufe.,I have come to tell you something important.
ከእስር ቤት አምልጠዋል።,Mana hidhaa keessaa miliqan.,They escaped from prison.
ስለ ጉዳዩ ልንነግረው ይገባል።,Waa'ee isaa itti himuu qabna.,We should tell him about it.
ሊፍቱን ወደ አራተኛው ፎቅ ወሰድኩት።,Liftii fudhadheen gara kutaa afraffaa deeme.,I took the elevator to the fourth floor.
በሰራተኞቹ ፊት አደረገው።,Hojjettoota fuulduratti raawwate.,He did it in front of the workers.
እዚህ ተጠቂው እኔ ነኝ።,Ani asitti miidhamaa dha.,I am the victim here.
ይህንን ስራ ለምን ይፈልጋሉ?,Hojii kana maaliif barbaadu?,Why do you want this job?
